parents,designation,sku,etat_intitule,name,etat,Regula_price,photo,diameter,width,length,Poids,Epaisseur,Diameter_Largrue_Cote,Longueur,Categories,Tags,Stock,"Sold individually?","Attribute 0 name","Attribute 0 value(s)","Attribute 0 global","Attribute 1 name","Attribute 1 value(s)","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 global"
,,0,"En Attente",Test1,0,0.00,,,,,,,,,>,Indifferent,1,1,Format,Indifferent,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,0,1,Epaisseur,,1,Diameter/Largrue/Cote,,1,Longueur,,1
Cuivreux,MOLDMAX,895,"En Stock","MOLDMAX  D 114 3",1,265.50,,114,0,125,11.2,0,114,125,Cuivreux>MOLDMAX,Rond,1,1,Format,Rond,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q7249,1,Epaisseur,0,1,Diameter/Largrue/Cote,114,1,Longueur,125,1
Cuivreux,MOLDMAX,896,"En Stock","MOLDMAX  D 114 3",1,265.50,,114,0,125,11.2,0,114,125,Cuivreux>MOLDMAX,Rond,1,1,Format,Rond,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q7249,1,Epaisseur,0,1,Diameter/Largrue/Cote,114,1,Longueur,125,1
Cuivreux,MOLDMAX,897,"En Stock","MOLDMAX  D 114 3",1,265.50,,114,0,125,11.2,0,114,125,Cuivreux>MOLDMAX,Rond,1,1,Format,Rond,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q7249,1,Epaisseur,0,1,Diameter/Largrue/Cote,114,1,Longueur,125,1
Cuivreux,MOLDMAX,900,"En Stock","MOLDMAX  D 114 3",1,73.49,,114,0,35,3.1,0,114,35,Cuivreux>MOLDMAX,Rond,1,1,Format,Rond,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q7249,1,Epaisseur,0,1,Diameter/Largrue/Cote,114,1,Longueur,35,1
"Aciers Inoxydables",Z33C13,1027,"En Stock","Z33C13 TR LAM D  95",1,18.79,,95,0,305,16.8,0,95,305,"Aciers Inoxydables>Z33C13",Rond,1,1,Format,Rond,1,AFNOR,Z33C13,1,Euronorme,X30Cr13,1,NF,A35-565-90,1,AISI,420,1,DIN,X30Cr13,1,Werskstoff,1-4028,1,CCPU,Q8009,1,Epaisseur,0,1,Diameter/Largrue/Cote,95,1,Longueur,305,1
"Aciers Inoxydables",Z33C13,1052,"En Stock","Z33C13 TR LAM D  95",1,19.13,,95,0,310,17.1,0,95,310,"Aciers Inoxydables>Z33C13",Rond,1,1,Format,Rond,1,AFNOR,Z33C13,1,Euronorme,X30Cr13,1,NF,A35-565-90,1,AISI,420,1,DIN,X30Cr13,1,Werskstoff,1-4028,1,CCPU,Q8009,1,Epaisseur,0,1,Diameter/Largrue/Cote,95,1,Longueur,310,1
"Aciers de Construction et Alliés",42CD4,1281,"En Stock","42CD4 TRAITE D  65",1,2.52,,65,0,10,3,0,65,10,"Aciers de Construction et Alliés>42CD4",Rond,1,1,Format,Rond,1,AFNOR,42CD4,1,Euronorme,42CrMoS4,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q5044,1,Epaisseur,0,1,Diameter/Largrue/Cote,65,1,Longueur,10,1
"Aciers Outils",40CMD8TrS,1688,"En Stock","40CMD8 TR+S EP  60",1,3.85,,60,70,150,4,60,70,150,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,,1,Epaisseur,60,1,Diameter/Largrue/Cote,70,1,Longueur,150,1
"Aciers Outils",40CMD8TrS,1711,"En Stock","40CMD8 TR+S EP 120",1,10.61,,120,10,680,10.05,120,10,680,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,Q5155,1,Epaisseur,120,1,Diameter/Largrue/Cote,10,1,Longueur,680,1
